May 04, 2015 2:45:04 PM org.apache.karaf.main.SimpleFileLock lock
INFO: locking
14:45:15,571 | INFO  | JMX OSGi Agent   | core                             | 45 - org.apache.aries.jmx.core - 1.0.1.redhat-610379 | Registering org.osgi.jmx.framework.wiring.BundleWiringStateMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@73c2a0d9 with name osgi.core:type=wiringState,version=1.1,framework=org.apache.felix.framework,uuid=3cb40f57-cea2-455c-a8fa-a80e19163800
14:45:15,572 | INFO  | JMX OSGi Agent   | core                             | 45 - org.apache.aries.jmx.core - 1.0.1.redhat-610379 | Registering org.osgi.jmx.framework.PackageStateMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@73c2a0d9 with name osgi.core:type=packageState,version=1.5,framework=org.apache.felix.framework,uuid=3cb40f57-cea2-455c-a8fa-a80e19163800
14:45:15,572 | INFO  | JMX OSGi Agent   | core                             | 45 - org.apache.aries.jmx.core - 1.0.1.redhat-610379 | Registering org.osgi.jmx.framework.ServiceStateMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@73c2a0d9 with name osgi.core:type=serviceState,version=1.7,framework=org.apache.felix.framework,uuid=3cb40f57-cea2-455c-a8fa-a80e19163800
14:45:15,816 | INFO  | FelixStartLevel  | ActivateCommandComponent         | 81 - org.apache.karaf.shell.scr - 2.3.0.redhat-610379 | Activating the Apache Karaf SCR Activate Command
14:45:15,821 | INFO  | FelixStartLevel  | DetailsCommandComponent          | 81 - org.apache.karaf.shell.scr - 2.3.0.redhat-610379 | Activating the Apache Karaf SCR Details Command
14:45:15,824 | INFO  | FelixStartLevel  | DeactivateCommandComponent       | 81 - org.apache.karaf.shell.scr - 2.3.0.redhat-610379 | Activating the Apache Karaf SCR Deactivate Command
14:45:15,827 | INFO  | FelixStartLevel  | ListCommandComponent             | 81 - org.apache.karaf.shell.scr - 2.3.0.redhat-610379 | Activating the Apache Karaf SCR List Command
14:45:15,848 | INFO  | FelixStartLevel  | ScrServiceMBeanImpl              | 82 - org.apache.karaf.management.mbeans.scr - 2.3.0.redhat-610379 | Activating the Apache Karaf SCR Service MBean
14:45:15,900 | INFO  | FelixStartLevel  | AbstractComponent                | 62 - io.fabric8.fabric-api - 1.0.0.redhat-379 | activateComponent: DataStoreTemplateRegistry{callback=null}
14:45:15,903 | INFO  | FelixStartLevel  | AbstractComponent                | 62 - io.fabric8.fabric-api - 1.0.0.redhat-379 | activateComponent: io.fabric8.zookeeper.bootstrap.RuntimePropertiesService@49d7800a
14:45:15,907 | INFO  | FelixStartLevel  | AbstractComponent                | 62 - io.fabric8.fabric-api - 1.0.0.redhat-379 | activateComponent: io.fabric8.zookeeper.curator.CuratorACLManager@a3f075
14:45:16,121 | INFO  | FelixStartLevel  | AbstractComponent                | 62 - io.fabric8.fabric-api - 1.0.0.redhat-379 | activateComponent: io.fabric8.service.PortPlaceholderResolver@7b0036f2
14:45:16,125 | INFO  | FelixStartLevel  | AbstractComponent                | 62 - io.fabric8.fabric-api - 1.0.0.redhat-379 | activateComponent: io.fabric8.service.ProfilePropertyPointerResolver@471a08b5
14:45:16,128 | INFO  | FelixStartLevel  | AbstractComponent                | 62 - io.fabric8.fabric-api - 1.0.0.redhat-379 | activateComponent: io.fabric8.service.VersionPropertyPointerResolver@5717cb5b
14:45:16,142 | INFO  | FelixStartLevel  | AbstractComponent                | 62 - io.fabric8.fabric-api - 1.0.0.redhat-379 | activateComponent: io.fabric8.service.ComponentConfigurer@77372706
14:45:16,153 | INFO  | FelixStartLevel  | AbstractComponent                | 62 - io.fabric8.fabric-api - 1.0.0.redhat-379 | activateComponent: io.fabric8.zookeeper.bootstrap.BootstrapConfiguration@75cf5ff9
14:45:16,247 | INFO  | FelixStartLevel  | AbstractComponent                | 62 - io.fabric8.fabric-api - 1.0.0.redhat-379 | activateComponent: io.fabric8.git.internal.FabricGitServiceImpl@286ff682
14:45:16,254 | INFO  | FelixStartLevel  | AbstractComponent                | 62 - io.fabric8.fabric-api - 1.0.0.redhat-379 | activateComponent: io.fabric8.internal.ZooKeeperClusterBootstrapImpl@6ca3ffb7
14:45:16,255 | INFO  | FelixStartLevel  | AbstractComponent                | 62 - io.fabric8.fabric-api - 1.0.0.redhat-379 | activateComponent: io.fabric8.api.jmx.ClusterBootstrapManager@4ba9b15
14:45:16,261 | INFO  | FelixStartLevel  | AbstractComponent                | 62 - io.fabric8.fabric-api - 1.0.0.redhat-379 | activateComponent: io.fabric8.zookeeper.curator.ManagedCuratorFramework@271e525c
14:45:16,375 | INFO  | FelixStartLevel  | Activator                        | 98 - org.ops4j.pax.web.pax-web-runtime - 3.0.6 | EventAdmin support enabled, servlet events will be postet to topics.
14:45:16,378 | INFO  | FelixStartLevel  | Activator                        | 98 - org.ops4j.pax.web.pax-web-runtime - 3.0.6 | LogService support enabled, log events will be created.
14:45:16,382 | INFO  | FelixStartLevel  | Activator                        | 98 - org.ops4j.pax.web.pax-web-runtime - 3.0.6 | Pax Web started
14:45:16,436 | INFO  | FelixStartLevel  | AbstractComponent                | 62 - io.fabric8.fabric-api - 1.0.0.redhat-379 | activateComponent: io.fabric8.boot.BootstrapCompleteService@768a4189
14:45:16,443 | INFO  | FelixStartLevel  | AbstractCommandComponent         | 63 - io.fabric8.fabric-boot-commands - 1.0.0.redhat-379 | activateComponent: io.fabric8.boot.commands.CreateCommand@1ffd0d9d
14:45:16,450 | INFO  | FelixStartLevel  | AbstractCommandComponent         | 63 - io.fabric8.fabric-boot-commands - 1.0.0.redhat-379 | activateComponent: io.fabric8.boot.commands.JoinCommand@59eaac28
14:45:16,488 | INFO  | pool-8-thread-1  | Server                           | 92 - org.eclipse.jetty.aggregate.jetty-all-server - 8.1.14.v20131031 | jetty-8.1.14.v20131031
14:45:16,515 | INFO  | pool-8-thread-1  | AbstractConnector                | 92 - org.eclipse.jetty.aggregate.jetty-all-server - 8.1.14.v20131031 | Started SelectChannelConnector@0.0.0.0:8181
14:45:16,516 | INFO  | pool-8-thread-1  | JettyServerImpl                  | 100 - org.ops4j.pax.web.pax-web-jetty - 3.0.6 | Pax Web available at [0.0.0.0]:[8181]
14:45:16,535 | INFO  | pool-8-thread-1  | HttpServiceFactoryImpl           | 98 - org.ops4j.pax.web.pax-web-runtime - 3.0.6 | Binding bundle: [io.fabric8.fabric-redirect [103]] to http service
14:45:16,595 | INFO  | pool-8-thread-1  | AbstractComponent                | 62 - io.fabric8.fabric-api - 1.0.0.redhat-379 | activateComponent: io.fabric8.redirect.RedirectRegistration@3d0620b3
14:45:16,718 | INFO  | FelixStartLevel  | DeploymentAgent                  | 60 - io.fabric8.fabric-agent - 1.0.0.redhat-379 | Starting DeploymentAgent
14:45:16,734 | INFO  | .fabric8.agent]) | DeploymentAgent                  | 60 - io.fabric8.fabric-agent - 1.0.0.redhat-379 | DeploymentAgent updated with null
14:45:16,952 | INFO  | FelixStartLevel  | BlueprintContainerImpl           | 9 - org.apache.aries.blueprint.core - 1.0.1.redhat-610379 | Bundle org.fusesource.patch.patch-commands is waiting for dependencies [(objectClass=org.fusesource.patch.Service)]
14:45:17,021 | INFO  | FelixStartLevel  | BlueprintContainerImpl           | 9 - org.apache.aries.blueprint.core - 1.0.1.redhat-610379 | Bundle org.apache.aries.transaction.blueprint is waiting for dependencies [(objectClass=javax.transaction.TransactionManager)]
14:45:17,461 | INFO  | .fabric.server]) | ActiveMQServiceFactory           | 141 - org.jboss.amq.mq-fabric - 6.1.0.redhat-379 | Standalone broker amq is starting.
14:45:17,461 | INFO  | .fabric.server]) | ActiveMQServiceFactory           | 141 - org.jboss.amq.mq-fabric - 6.1.0.redhat-379 | Broker amq is being started.
14:45:17,467 | INFO  | pool-12-thread-1 | ActiveMQServiceFactory           | 141 - org.jboss.amq.mq-fabric - 6.1.0.redhat-379 | booting up a broker from: /NotBackedUp/cpandey/Downloads/fuse-pocs-camel-spring-properties/fuse-pocs-camel-spring-properties-itest/target/pax/5c63462d-a114-416a-a6be-9fa675a5c526/etc/activemq.xml
14:45:17,475 | INFO  | FelixStartLevel  | ActiveMQConnectionFactoryService | 141 - org.jboss.amq.mq-fabric - 6.1.0.redhat-379 | Configuring org.fusesource.mq.fabric.cf.ActiveMQConnectionFactoryService@433cf592 with brokerUrl: discovery:(fabric:default) and user: admin
14:45:17,485 | INFO  | FelixStartLevel  | Activator                        | 142 - org.apache.camel.camel-core - 2.12.0.redhat-610379 | Camel activator starting
14:45:17,490 | INFO  | pool-12-thread-1 | ActiveMQServiceFactory$$anon$1   | 121 - org.apache.servicemix.bundles.spring-context - 3.2.8.RELEASE_1 | Refreshing org.fusesource.mq.fabric.ActiveMQServiceFactory$$anon$1@6b6d3e19: startup date [Mon May 04 14:45:17 IST 2015]; root of context hierarchy
14:45:17,539 | INFO  | pool-12-thread-1 | XBeanXmlBeanDefinitionReader     | 124 - org.apache.servicemix.bundles.spring-beans - 3.2.8.RELEASE_1 | Loading XML bean definitions from file [/NotBackedUp/cpandey/Downloads/fuse-pocs-camel-spring-properties/fuse-pocs-camel-spring-properties-itest/target/pax/5c63462d-a114-416a-a6be-9fa675a5c526/etc/activemq.xml]
14:45:17,574 | INFO  | FelixStartLevel  | Activator                        | 142 - org.apache.camel.camel-core - 2.12.0.redhat-610379 | Camel activator started
14:45:17,701 | INFO  | FelixStartLevel  | ContextLoaderListener            | 145 - org.springframework.osgi.extender - 1.2.1 | Starting [org.springframework.osgi.extender] bundle v.[1.2.1]
14:45:17,731 | INFO  | pool-12-thread-1 | DefaultListableBeanFactory       | 124 - org.apache.servicemix.bundles.spring-beans - 3.2.8.RELEASE_1 | Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@20b3819c: defining beans [org.springframework.beans.factory.config.PropertyPlaceholderConfigurer#0,org.apache.activemq.xbean.XBeanBrokerService#0]; root of factory hierarchy
14:45:17,776 | WARN  | FelixStartLevel  | NamespaceManager                 | 145 - org.springframework.osgi.extender - 1.2.1 | Bundle Apache Aries Transaction Enlisting JDBC Datasource (org.apache.aries.transaction.jdbc) cannot see class [org.springframework.beans.factory.xml.NamespaceHandlerResolver]; ignoring its namespace handlers
14:45:17,804 | WARN  | FelixStartLevel  | NamespaceManager                 | 145 - org.springframework.osgi.extender - 1.2.1 | Bundle Apache XBean :: Classloader (org.apache.xbean.classloader) cannot see class [org.springframework.beans.factory.xml.NamespaceHandlerResolver]; ignoring its namespace handlers
14:45:17,805 | INFO  | pool-12-thread-1 | BrokerService                    | 131 - org.apache.activemq.activemq-osgi - 5.9.0.redhat-610379 | Loaded the Bouncy Castle security provider.
14:45:17,836 | INFO  | FelixStartLevel  | ExtenderConfiguration            | 145 - org.springframework.osgi.extender - 1.2.1 | No custom extender configuration detected; using defaults...
14:45:17,839 | INFO  | FelixStartLevel  | TimerTaskExecutor                | 121 - org.apache.servicemix.bundles.spring-context - 3.2.8.RELEASE_1 | Initializing Timer
14:45:17,883 | INFO  | pool-12-thread-1 | PListStoreImpl                   | 131 - org.apache.activemq.activemq-osgi - 5.9.0.redhat-610379 | PListStore:[/NotBackedUp/cpandey/Downloads/fuse-pocs-camel-spring-properties/fuse-pocs-camel-spring-properties-itest/target/pax/5c63462d-a114-416a-a6be-9fa675a5c526/data/amq/amq/tmp_storage] started
